,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,+/-,Salary,Gender,Pick,UnDraft
146,Tyus Jones,MEM,27,80,51,29,24.2,10.3,1.2,1500000,1,24.0,0
147,De'Anthony Melton,PHI,25,77,50,27,27.9,10.1,1.3,8250000,1,46.0,0
148,Jrue Holiday,MIL,33,67,50,17,32.6,19.3,7.2,33665040,1,17.0,0
149,Christian Braun,DEN,22,76,49,27,15.5,4.7,-1.5,2808600,1,21.0,0
150,Cedi Osman,CLE,28,77,48,29,20.1,8.7,3.0,7426088,1,31.0,0
151,Evan Mobley,CLE,22,79,48,31,34.4,16.2,4.3,8478720,1,3.0,0
152,Harrison Barnes,SAC,31,82,48,34,32.5,15.0,3.1,18352273,1,7.0,0
153,Isaac Okoro,CLE,22,76,48,28,21.7,6.4,1.7,7040880,1,5.0,0
154,Nikola Jokic,DEN,28,69,48,21,33.7,24.5,9.3,33047804,1,41.0,0
155,P.J. Tucker,PHI,38,75,48,27,25.6,3.5,1.8,10490000,1,35.0,0
156,Bobby Portis,MIL,28,70,47,23,26.0,14.1,0.2,10843350,1,22.0,0
157,Davion Mitchell,SAC,24,80,47,33,18.1,5.6,0.0,4833600,1,9.0,0
158,Domantas Sabonis,SAC,27,79,47,32,34.6,19.1,2.7,18500000,1,11.0,0
159,Giannis Antetokounmpo,MIL,28,63,47,16,32.1,31.1,5.4,42492492,1,15.0,0
160,Immanuel Quickley,NYK,24,81,47,34,28.9,14.9,3.9,2316240,1,25.0,0
161,Isaiah Hartenstein,NYK,25,82,47,35,19.9,5.0,1.8,7804879,1,43.0,0
162,Keegan Murray,SAC,22,80,47,33,29.8,12.2,1.2,8008440,1,4.0,0
163,Malik Monk,SAC,25,77,47,30,22.3,13.5,0.9,9472219,1,11.0,0
164,Santi Aldama,MEM,22,77,47,30,21.8,9.0,1.2,2094240,1,30.0,0
165,Tobias Harris,PHI,30,74,47,27,32.9,14.7,4.0,37633050,1,19.0,0
166,Dillon Brooks,MEM,27,73,46,27,30.3,14.3,2.8,11400000,1,45.0,0
167,Jaylen Brown,BOS,26,67,46,21,35.9,26.6,3.8,28741071,1,3.0,0
168,Malcolm Brogdon,BOS,30,67,46,21,26.0,14.9,2.7,22600000,1,36.0,0
169,Aaron Gordon,DEN,27,68,45,23,30.2,16.3,7.6,19690909,1,4.0,0
170,Caris LeVert,CLE,28,74,45,29,30.2,12.1,2.6,18796296,1,20.0,0
171,John Konchar,MEM,27,72,45,27,20.7,5.1,2.9,2300000,1,,1
172,Luke Kornet,BOS,27,69,45,24,11.7,3.8,0.9,2133278,1,,1
173,Malik Beasley,LAL,26,81,45,36,25.8,12.7,-1.1,15558035,1,19.0,0
174,Al Horford,BOS,37,63,44,19,30.5,9.8,4.9,26500000,1,3.0,0
175,David Roddy,MEM,22,70,44,26,18.0,6.7,-0.9,2588640,1,23.0,0
176,De'Aaron Fox,SAC,25,73,44,29,33.4,25.0,2.4,28103550,1,5.0,0
177,Donovan Mitchell,CLE,26,68,44,24,35.8,28.3,5.0,30913750,1,13.0,0
178,Jarrett Allen,CLE,25,68,44,24,32.6,14.3,5.1,20000000,1,22.0,0
179,Jordan Poole,GSW,24,82,44,38,30.0,20.4,-0.1,3901399,1,28.0,0
180,Julius Randle,NYK,28,77,44,33,35.5,25.1,2.2,23760000,1,7.0,0
181,Kevin Huerter,SAC,24,75,44,31,29.4,15.2,3.0,14508929,1,19.0,0
182,Kevon Looney,GSW,27,82,44,38,23.9,7.0,1.9,8000000,1,30.0,0
183,Nicolas Batum,LAC,34,78,44,34,21.9,6.1,2.1,10843350,1,25.0,0
184,Paul Reed,PHI,24,69,44,25,10.9,4.2,-0.2,1782621,1,,1
